Número de Pago,Balance Inicial,Pago Programado,Pago del Principal,Pago de Intereses,Balance Final
1,210000000.0,2460308.993684441,185308.99368444132,2274999.9999999995,209814691.00631556
2,209814691.00631556,2460308.993684441,187316.5077826893,2272992.4859017516,209627374.49853286
3,209627374.49853286,2460308.993684441,189345.7699503349,2270963.223734106,209438028.72858253
4,209438028.72858253,2460308.993684441,191397.01579146367,2268911.977892977,209246631.71279106
5,209246631.71279106,2460308.993684441,193470.4834625381,2266838.5102219027,209053161.2293285
6,209053161.2293285,2460308.993684441,195566.4137000488,2264742.579984392,208857594.81562847
7,208857594.81562847,2460308.993684441,197685.04984846618,2262623.9438359747,208659909.76578
8,208659909.76578,2460308.993684441,199826.63788849115,2260482.3557959497,208460083.1278915
9,208460083.1278915,2460308.993684441,201991.42646561656,2258317.5672188243,208258091.70142588
10,208258091.70142588,2460308.993684441,204179.66691899393,2256129.326765447,208053912.0345069
11,208053912.0345069,2460308.993684441,206391.61331061646,2253917.3803738244,207847520.42119628
12,207847520.42119628,2460308.993684441,208627.52245481452,2251681.4712296263,207638892.89874145
13,207638892.89874145,2460308.993684441,210887.6539480756,2249421.3397363652,207428005.2447934
14,207428005.2447934,2460308.993684441,213172.27019917965,2247136.723485261,207214832.9745942
15,207214832.9745942,2460308.993684441,215481.6364596705,2244827.3572247704,206999351.33813453
16,206999351.33813453,2460308.993684441,217816.02085465053,2242492.9728297903,206781535.31727988
17,206781535.31727988,2460308.993684441,220175.69441390922,2240133.2992705316,206561359.62286597
18,206561359.62286597,2460308.993684441,222560.93110339297,2237748.062581048,206338798.6917626
19,206338798.6917626,2460308.993684441,224972.00785701303,2235336.985827428,206113826.68390557
20,206113826.68390557,2460308.993684441,227409.20460879756,2232899.7890756433,205886417.47929677
21,205886417.47929677,2460308.993684441,229872.80432539294,2230436.189359048,205656544.67497137
22,205656544.67497137,2460308.993684441,232363.09303891798,2227945.900645523,205424181.58193246
23,205424181.58193246,2460308.993684441,234880.35988017265,2225428.633804268,205189301.22205228
24,205189301.22205228,2460308.993684441,237424.89711220795,2222884.096572233,204951876.32494006
25,204951876.32494006,2460308.993684441,239997.00016425736,2220311.9935201835,204711879.3247758
26,204711879.3247758,2460308.993684441,242596.96766603692,2217712.026018404,204469282.35710976
27,204469282.35710976,2460308.993684441,245225.10148241883,2215083.892202022,204224057.25562733
28,204224057.25562733,2460308.993684441,247881.70674847811,2212427.2869359627,203976175.54887885
29,203976175.54887885,2460308.993684441,250567.09190492006,2209741.901779521,203725608.45697394
